,기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,분기당_매출_금액,분기당_매출_건수,주중_매출_비율,주말_매출_비율,월요일_매출_비율,화요일_매출_비율,수요일_매출_비율,목요일_매출_비율,금요일_매출_비율,토요일_매출_비율,일요일_매출_비율,시간대_00_06_매출_비율,시간대_06_11_매출_비율,시간대_11_14_매출_비율,시간대_14_17_매출_비율,시간대_17_21_매출_비율,시간대_21_24_매출_비율,남성_매출_비율,여성_매출_비율,연령대_10_매출_비율,연령대_20_매출_비율,연령대_30_매출_비율,연령대_40_매출_비율,연령대_50_매출_비율,연령대_60_이상_매출_비율,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00_06_매출_금액,시간대_06_11_매출_금액,시간대_11_14_매출_금액,시간대_14_17_매출_금액,시간대_17_21_매출_금액,시간대_21_24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수_06_매출_건수,시간대_건수_11_매출_건수,시간대_건수_14_매출_건수,시간대_건수_17_매출_건수,시간대_건수_21_매출_건수,시간대_건수_24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,점포수,거리두기_단계
20,2019-1,1,U,관광특구,0,이태원 관광특구,20,네일숍,103188329.0,1437,64,36,15,5,12,20,13,24,11,0,0,7,31,56,6,34,66,0,33,27,10,11,20,66358079.0,36830250.0,15864768.0,5034623.0,12065577.0,20087763.0,13305348.0,25175796.0,11654454.0,0,0.0,7621684.0,31467411.0,57783762.0,6315472,34713530.0,68474799.0,190225,33487219.0,27607994.0,10297515.0,11324731.0,20280645.0,843,594,152,75,221,204,191,366,228,0,0,151,494,716,76,359,1078,13,535,456,139,63,231,6,0
21,2019-1,1,U,관광특구,0,이태원 관광특구,21,피부관리실,24314089.0,463,47,53,11,8,8,2,19,36,17,0,1,26,32,35,7,19,81,0,26,47,13,9,6,11468803.0,12845286.0,2601543.0,1836213.0,1957351.0,454238.0,4619458.0,8674557.0,4170729.0,0,247766.0,6268478.0,7763336.0,8459831.0,1574678,4624966.0,19689123.0,0,6194152.0,11347666.0,3220959.0,2064716.0,1486596.0,220,243,57,50,36,8,69,161,82,0,16,143,141,119,44,108,355,0,99,223,67,66,8,12,0
22,2019-1,1,U,관광특구,0,이태원 관광특구,22,세탁소,101591471.0,3436,74,26,11,4,11,8,40,26,0,0,33,17,18,31,0,44,57,0,16,6,31,35,13,74728469.0,26863002.0,11449553.0,3523622.0,11097192.0,8558703.0,40099399.0,26863002.0,0.0,0,33703329.0,17715682.0,18522285.0,31650175.0,0,29456104.0,38229081.0,0,10537436.0,3900541.0,20829886.0,23608268.0,8809055.0,2914,522,718,352,720,618,506,522,0,0,139,999,1226,1072,0,1871,1425,0,748,381,1462,353,352,4,0
23,2019-1,1,U,관광특구,0,이태원 관광특구,23,가전제품수리,3970490.0,5,100,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,100,3970490.0,0.0,0.0,0.0,0.0,0.0,3970490.0,0.0,0.0,0,0.0,0.0,0.0,3970490.0,0,0.0,3970490.0,0,0.0,0.0,0.0,0.0,3970490.0,5,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,5,2,0
24,2019-1,1,U,관광특구,0,이태원 관광특구,24,여관,447988416.0,7683,52,48,9,9,11,9,16,28,20,48,12,3,7,14,17,80,20,1,61,22,10,4,2,234699233.0,213289183.0,39501107.0,38493158.0,47633077.0,37878920.0,71192971.0,124687612.0,88601571.0,212731831,54152965.0,11348331.0,30063038.0,61820643.0,77871608,359524639.0,88463777.0,3943932,273428592.0,97863831.0,44602367.0,19299524.0,8850170.0,4078,3605,728,645,809,696,1200,2116,1489,2877,798,292,862,1635,1219,6034,1649,98,5004,1504,640,339,98,9,0
25,2019-1,1,U,관광특구,0,이태원 관광특구,25,노래방,175283232.0,7387,49,51,9,8,9,9,14,26,25,49,2,0,2,14,33,54,46,1,56,30,6,5,2,85724055.0,89559177.0,15975606.0,14731812.0,16236309.0,15188568.0,23591760.0,45739185.0,43819992.0,86540925,3669408.0,0.0,2747597.0,23777206.0,58548096,94834244.0,80448988.0,1498954,98459685.0,52649890.0,9820932.0,8765447.0,4088324.0,3579,3808,587,627,725,670,970,1981,1827,3633,177,0,144,910,2523,3962,3425,107,4573,2034,280,318,75,3,0
26,2019-1,1,U,관광특구,0,이태원 관광특구,26,슈퍼마켓,7469401242.0,479003,64,36,11,12,12,12,17,18,18,6,7,16,23,36,13,59,41,0,26,33,19,14,8,4746993478.0,2722407764.0,794327268.0,868551585.0,864278855.0,923349148.0,1296486622.0,1354895773.0,1367511991.0,413042306,513213906.0,1178052404.0,1722801251.0,2673678310.0,968613065,4014984820.0,2809061736.0,25342717,1779897591.0,2280146285.0,1302609165.0,927136700.0,508914101.0,283569,195434,46527,52163,52187,56127,76565,98765,96669,75605,34592,58090,84761,153469,72486,283425,181664,2676,178483,139631,61333,53741,29223,64,0
27,2019-1,1,U,관광특구,0,이태원 관광특구,27,편의점,6438935853.0,1093874,60,40,10,11,10,12,17,22,19,29,10,11,9,19,22,67,33,1,47,31,12,7,3,3841611959.0,2597323894.0,628199856.0,722279690.0,656765682.0,739152985.0,1095213746.0,1381912632.0,1215411262.0,1857505487,639641686.0,684967800.0,607320285.0,1234739272.0,1414761323,4168382481.0,2061515392.0,42926259,2908263049.0,1938581921.0,721912315.0,429869441.0,188344891.0,632907,460967,103680,120102,112268,125814,171043,244892,216075,314397,118450,109124,115057,211211,225635,717923,368873,9443,559093,318428,101104,72559,26167,25,0
28,2019-1,1,U,관광특구,0,이태원 관광특구,28,핸드폰,2257800.0,452,100,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,100,0,0,0,0,2257800.0,0.0,2257800.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2257800.0,0.0,0.0,0,0.0,2257800.0,0,2257800.0,0.0,0.0,0.0,0.0,452,0,452,0,0,0,0,0,0,0,0,452,0,0,0,0,452,0,452,0,0,0,0,6,0
29,2019-1,1,U,관광특구,0,이태원 관광특구,29,육류판매,2250562580.0,79262,64,36,5,9,4,7,40,18,18,0,1,25,22,44,9,70,31,0,30,35,26,6,3,1443046296.0,807516284.0,107120984.0,191263110.0,98336333.0,147022344.0,899303525.0,408268654.0,399247630.0,0,17639859.0,552315741.0,501959824.0,980328102.0,198319054,1564022419.0,686540161.0,3498378,664363425.0,792536102.0,588536065.0,140014703.0,61613907.0,49980,29282,5997,6821,4587,6232,26343,14111,15171,0,941,23756,19169,25753,9643,64360,14902,599,27739,34822,9739,4682,1681,7,0
