,기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,분기당_매출_금액,분기당_매출_건수,주중_매출_비율,주말_매출_비율,월요일_매출_비율,화요일_매출_비율,수요일_매출_비율,목요일_매출_비율,금요일_매출_비율,토요일_매출_비율,일요일_매출_비율,시간대_00_06_매출_비율,시간대_06_11_매출_비율,시간대_11_14_매출_비율,시간대_14_17_매출_비율,시간대_17_21_매출_비율,시간대_21_24_매출_비율,남성_매출_비율,여성_매출_비율,연령대_10_매출_비율,연령대_20_매출_비율,연령대_30_매출_비율,연령대_40_매출_비율,연령대_50_매출_비율,연령대_60_이상_매출_비율,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00_06_매출_금액,시간대_06_11_매출_금액,시간대_11_14_매출_금액,시간대_14_17_매출_금액,시간대_17_21_매출_금액,시간대_21_24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수_06_매출_건수,시간대_건수_11_매출_건수,시간대_건수_14_매출_건수,시간대_건수_17_매출_건수,시간대_건수_21_매출_건수,시간대_건수_24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,점포수,거리두기_단계
20,2019-1,1,R,전통시장,0,용산용문시장,31,수산물판매,414900463.0,18535,75,25,21,11,12,15,16,18,7,0,15,27,35,23,0,27,73,0,1,8,15,36,40,311478706.0,103421757.0,88446024.0,45476066.0,51184686.0,60703015.0,65668915.0,73207975.0,30213782.0,0,62768518.0,112158267.0,145763639.0,93415436.0,794603,107031498.0,292031889.0,0,3690612.0,32155124.0,61523510.0,141508847.0,160185298.0,13890,4645,3737,2324,2507,2462,2860,3339,1306,0,1983,4769,6887,4856,40,5132,12861,0,208,1603,3177,5925,7080,20,0
21,2019-1,1,R,전통시장,0,용산용문시장,32,청과상,2944834527.0,155588,70,30,17,14,12,13,14,16,15,0,9,25,33,30,3,36,65,0,3,15,21,36,25,2056957163.0,887877364.0,499239515.0,408645951.0,345777715.0,388080913.0,415213069.0,455479906.0,432397458.0,0,275552398.0,730475414.0,960559900.0,894987283.0,83259532,971834180.0,1767492626.0,3078377,71960767.0,404123883.0,583610498.0,994069514.0,682483765.0,108366,47222,23460,21189,18326,21699,23692,25245,21977,0,10487,34140,50668,55625,4668,52008,97483,181,5441,21144,32674,50166,39882,24,0
22,2019-1,1,R,전통시장,0,용산용문시장,33,반찬가게,763786905.0,38953,75,25,23,14,13,11,14,16,9,0,13,33,23,31,1,32,68,0,3,12,19,32,33,570067409.0,193719496.0,175964096.0,104504922.0,97525605.0,85363927.0,106708859.0,125333493.0,68386003.0,0,98580812.0,251925115.0,173835237.0,233437358.0,6008383,205040618.0,432577777.0,0,21614298.0,76449938.0,121056871.0,206020449.0,212476840.0,27144,11809,7383,4903,4211,5132,5515,7476,4333,0,3458,8674,11657,14540,624,12446,24918,0,1480,5453,8314,13108,9009,29,0
23,2019-1,1,R,전통시장,0,용산용문시장,34,일반의류,810811528.0,9017,75,25,18,9,12,17,18,14,11,0,1,20,41,32,5,18,82,0,2,3,10,37,47,606057694.0,204753834.0,145537583.0,73842335.0,100195287.0,139409223.0,147073266.0,112686635.0,92067199.0,0,8299121.0,161172123.0,335068995.0,262891077.0,43380212,148463957.0,658194317.0,942373,18220928.0,25416107.0,79291525.0,301139561.0,381647780.0,6525,2492,1395,1069,1261,1489,1311,1474,1018,0,231,2214,3372,2904,296,2239,6744,86,295,602,1409,3009,3582,37,0
24,2019-1,1,R,전통시장,0,용산용문시장,35,신발,14782487.0,492,72,28,14,23,9,12,15,28,0,0,7,18,36,39,0,47,53,2,5,3,11,37,43,10650588.0,4131899.0,2035562.0,3364107.0,1319128.0,1745636.0,2186155.0,4131899.0,0.0,0,1009975.0,2656945.0,5334181.0,5781386.0,0,6779001.0,7654359.0,234320,648379.0,399003.0,1596010.0,5323137.0,6232512.0,359,133,83,81,59,76,60,133,0,0,24,81,170,217,0,174,305,21,25,24,62,146,201,9,0
25,2019-1,1,R,전통시장,0,용산용문시장,37,안경,95016961.0,1031,77,24,12,25,16,5,18,24,0,0,4,23,36,36,1,61,40,1,14,18,29,27,13,72644883.0,22372078.0,11286169.0,23280407.0,15606098.0,4977930.0,17494279.0,22372078.0,0.0,0,3590404.0,21928642.0,34244728.0,34108835.0,1144352,57453613.0,37563348.0,715220,12780979.0,16807667.0,27407226.0,25290175.0,12015694.0,831,200,144,187,172,100,228,200,0,0,57,186,359,415,14,631,400,14,229,157,273,229,129,3,0
26,2019-1,1,R,전통시장,0,용산용문시장,38,시계및귀금속,24914507.0,129,89,11,0,22,12,43,13,11,0,0,0,5,49,46,0,55,46,0,0,0,34,11,55,22214506.0,2700001.0,0.0,5400000.0,2862693.0,10648704.0,3303109.0,2700001.0,0.0,0,0.0,1299223.0,12266877.0,11348407.0,0,13566099.0,11348408.0,0,0.0,0.0,8485713.0,2680478.0,13748316.0,117,12,0,13,22,60,22,12,0,0,0,22,73,34,0,73,56,0,0,0,13,45,71,4,0
27,2019-1,1,R,전통시장,0,용산용문시장,39,의약품,575659059.0,32915,83,18,17,15,14,16,20,15,2,0,11,25,34,30,0,48,53,0,3,8,18,28,42,474797146.0,100861913.0,98606844.0,85666170.0,80690183.0,93338436.0,116495513.0,88153484.0,12708429.0,0,64370092.0,141078470.0,197273163.0,172191339.0,745995,270784590.0,299784801.0,537626,19079792.0,44387360.0,104316284.0,161229349.0,241018980.0,27283,5632,6254,4846,5061,5361,5761,4689,943,0,3919,7908,10240,10779,69,14649,18098,113,2153,4187,6772,8016,11505,9,0
28,2019-1,1,R,전통시장,0,용산용문시장,41,문구,18830764.0,1058,90,10,18,13,35,15,9,10,0,0,14,11,21,54,0,51,49,0,8,10,10,38,34,16928940.0,1901824.0,3395007.0,2403575.0,6547760.0,2807045.0,1775553.0,1901824.0,0.0,0,2594965.0,2108329.0,3910552.0,10216918.0,0,6222742.0,5891288.0,0,977637.0,1255238.0,1182821.0,4601564.0,4096768.0,903,155,207,121,172,277,126,155,0,0,138,246,277,397,0,465,332,0,103,120,104,126,345,4,0
29,2019-1,1,R,전통시장,0,용산용문시장,42,화장품,15501461.0,417,89,11,18,10,10,20,31,11,0,0,0,43,42,15,0,27,73,0,2,53,6,36,3,13758621.0,1742840.0,2736997.0,1472822.0,1595558.0,3129749.0,4823495.0,1742840.0,0.0,0,0.0,6652251.0,6517240.0,2331970.0,0,4148451.0,11353010.0,0,368206.0,8186441.0,895967.0,5645821.0,405026.0,343,74,133,49,37,50,74,74,0,0,0,208,172,37,0,49,368,0,12,183,37,148,37,3,0
